Player,Runs,Fours,Sixes,Dots,Wickets,RunsConceded,Overs,StrikeRate,Economy,PerformanceScore
AB de Villiers,2425,0.0,0.0,0.0,7,196,31.0,242500.0,6.125,2600
Aamer Yamin,588,0.0,0.0,0.0,3,102,15.0,58800.0,6.375,663
Aaron Finch,9775,0.0,0.0,0.0,10,559,80.3,977500.0,6.8757687576875774,10025
Aaron Hardie,1440,0.0,0.0,0.0,7,206,26.0,144000.0,7.62962962962963,1615
Aaron Heal,531,0.0,0.0,0.0,3,86,12.0,53100.0,6.615384615384615,606
Aaron O'Brien,3504,0.0,0.0,0.0,22,604,85.0,350400.0,7.023255813953488,4054
Aaron Phangiso,5163,0.0,0.0,0.0,36,894,170.1,516300.0,5.225014611338398,6063
Aaron Redmond,1203,0.0,0.0,0.0,4,89,13.5,120300.0,6.137931034482759,1303
Aaron Summers,165,0.0,0.0,0.0,0,31,3.0,16500.0,7.75,165
Aavishkar Salvi,1065,0.0,0.0,0.0,7,200,25.0,106500.0,7.6923076923076925,1240
Abdul Razzaq,9797,0.0,0.0,0.0,38,1516,280.7,979700.0,5.381611643592475,10747
Abdul Samad,497,0.0,0.0,0.0,1,96,7.0,49700.0,12.0,522
Abdur Rauf,308,0.0,0.0,0.0,2,66,10.0,30800.0,6.0,358
Abdur Razzak,10513,0.0,0.0,0.0,50,2015,392.2,1051300.0,5.124618514750763,11763
Abdur Rehman,4142,0.0,0.0,0.0,39,959,326.5,414200.0,2.92824427480916,5117
Abhimanyu Mithun,6241,0.0,0.0,0.0,18,1094,194.0,624100.0,5.61025641025641,6691
Abhinav Mukund,322,0.0,0.0,0.0,0,14,2.0,32200.0,4.666666666666667,322
Abhishek Jhunjhunwala,1755,0.0,0.0,0.0,1,129,14.1,175500.0,8.543046357615895,1780
Abhishek Nayar,3177,0.0,0.0,0.0,9,339,41.1,317700.0,8.052256532066508,3402
Abhishek Raut,757,0.0,0.0,0.0,0,44,5.0,75700.0,7.333333333333333,757
Abhishek Sharma,1229,0.0,0.0,0.0,3,112,12.0,122900.0,8.615384615384615,1304
Abrar Kazi,146,0.0,0.0,0.0,0,21,2.0,14600.0,7.0,146
Abu Hider,416,0.0,0.0,0.0,1,67,8.0,41600.0,7.444444444444445,441
Abu Jayed,1987,0.0,0.0,0.0,9,382,94.5,198700.0,4.0,2212
Abu Nechim,2621,0.0,0.0,0.0,12,498,57.2,262100.0,8.556701030927835,2921
Abul Hasan,132,0.0,0.0,0.0,0,9,1.0,13200.0,4.5,132
Adam Gilchrist,133,0.0,0.0,0.0,1,0,0.1,13300.0,0.0,158
Adam Lyth,566,0.0,0.0,0.0,0,0,1.0,56600.0,0.0,566
Adam Milne,7243,0.0,0.0,0.0,36,1345,201.4,724300.0,6.645256916996047,8143
Adam Voges,5445,0.0,0.0,0.0,11,363,65.1,544500.0,5.491679273827534,5720
Adam Zampa,31412,0.0,0.0,0.0,214,5626,892.3,3141200.0,6.297996193887832,36762
Adeel Raja,210,0.0,0.0,0.0,0,21,2.0,21000.0,7.0,210
Adil Rashid,45089,0.0,0.0,0.0,278,8722,1692.1,4508900.0,5.151497253558562,52039
Aditya Dole,484,0.0,0.0,0.0,5,112,11.0,48400.0,9.333333333333334,609
Aftab Ahmed,2379,0.0,0.0,0.0,0,111,20.2,237900.0,5.235849056603774,2379
Aftab Alam,607,0.0,0.0,0.0,3,123,22.0,60700.0,5.3478260869565215,682
Afzaal Haider,374,0.0,0.0,0.0,1,72,6.0,37400.0,10.285714285714286,399
Ahillen Beadle,262,0.0,0.0,0.0,1,61,8.0,26200.0,6.777777777777778,287
Ahmed Raza,388,0.0,0.0,0.0,1,60,12.0,38800.0,4.615384615384615,413
Ahmed Shehzad,836,0.0,0.0,0.0,1,54,7.4,83600.0,6.428571428571428,861
Ahsan Malik,233,0.0,0.0,0.0,5,33,7.0,23300.0,4.125,358
Aiden Markram,4436,0.0,0.0,0.0,3,219,46.8,443600.0,4.581589958158996,4511
Aizaz Cheema,1830,0.0,0.0,0.0,5,275,58.4,183000.0,4.62962962962963,1955
Aizaz Khan,285,0.0,0.0,0.0,1,41,8.0,28500.0,4.555555555555555,310
Ajantha Mendis,17353,0.0,0.0,0.0,123,3415,683.8,1735300.0,4.986857476635515,20428
Ajaz Patel,2868,0.0,0.0,0.0,15,535,190.1,286800.0,2.7995813710099426,3243
Ajinkya Rahane,119,0.0,0.0,0.0,1,5,1.0,11900.0,2.5,144
Ajit  Chandila,1597,0.0,0.0,0.0,11,203,35.0,159700.0,5.638888888888889,1872
Ajit Agarkar,21530,0.0,0.0,0.0,124,3918,700.2,2153000.0,5.587564175698802,24630
Ajmal Shahzad,3515,0.0,0.0,0.0,24,650,125.6,351500.0,5.134281200631912,4115
Akila Dananjaya,9145,0.0,0.0,0.0,75,2001,395.2,914500.0,5.050479555779909,11020
Al-Amin Hossain,2088,0.0,0.0,0.0,24,458,72.6,208800.0,6.222826086956522,2688
Alasdair Evans,835,0.0,0.0,0.0,3,129,22.0,83500.0,5.608695652173913,910
Albie Morkel,17729,0.0,0.0,0.0,99,2998,364.8,1772900.0,8.195735374521597,20204
Alex Cusack,2965,0.0,0.0,0.0,13,346,70.8,296500.0,4.818941504178273,3290
Alex Hales,627,0.0,0.0,0.0,0,2,3.0,62700.0,0.5,627
Alex Keath,142,0.0,0.0,0.0,0,27,1.0,14200.0,13.5,142
Alfonso Thomas,5402,0.0,0.0,0.0,35,980,132.7,540200.0,7.329842931937173,6277
Ali Murtaza,1815,0.0,0.0,0.0,9,313,44.0,181500.0,6.955555555555556,2040
Alister McDermott,2815,0.0,0.0,0.0,23,513,61.3,281500.0,8.23434991974318,3390
